partner_name,category,region,post_count,total_reposts,total_comments,total_attitudes,total_comment_likes,avg_reposts,avg_comments,avg_attitudes,engagement_rate,top_posts,date_range_start,date_range_end
李昀锐,Artist,CN,8,66225,48007,356708,0,8278.12,6000.88,44588.5,58867.5,"[""5184277760968006|#李昀锐灵猫魔法师大片#(82,124 likes)"", ""5184305999645655|#李昀锐灵猫魔法师大片#(60,127 likes)"", ""5184625053533027|和平精英的微博视频(56,113 likes)""]",2025-07-03T03:00:00+00:00,2025-09-12T03:00:01+00:00
品牌代言人,Artist,CN,4,13942,10059,335985,0,3485.5,2514.75,83996.25,89996.5,"[""4585960307954838|和平精英代言人新年物资(194,255 likes)"", ""4586322821910456|和平精英代言人新年物资(61,457 likes)"", ""4585960518193929|和平精英代言人新年物资(41,409 likes)""]",2020-12-25T02:00:03+00:00,2020-12-26T02:00:33+00:00
100+合作方,Other,CN,1,101387,130758,326378,0,101387.0,130758.0,326378.0,558523.0,"[""4499696930397567|#集合到我这里来# | #和平精英生日快乐#@和平精英 联手100+合作方备好超豪华锦鲤空投等你来召(326,378 likes)""]",2020-05-01T01:00:11+00:00,2020-05-01T01:00:11+00:00
"虞书欣, 林一",Artist,CN,9,16237,29535,288170,0,1804.11,3281.67,32018.89,37104.67,"[""5127126183839774|和平精英的微博视频(68,145 likes)"", ""5127065800016456|#和平精英春节双神装降临##虞书欣林一二搭演双强古偶##虞书欣林一合体COS#和平精英品牌代言人@虞(60,236 likes)"", ""5126401435109925|和平精英超话#和平精英春节双神装降临##虞书欣林一二搭演双强古偶##虞书欣林一合体COS#凤凰展翼，(49,095 likes)""]",2025-01-24T10:00:09+00:00,2025-01-31T08:00:01+00:00
"华晨宇, 宋茜",Artist,CN,7,22726,5525,282130,0,3246.57,789.29,40304.29,44340.14,"[""4807832681058279|和平精英的微博视频(98,068 likes)"", ""4802404219880660|#PEL夏决明星双排表演赛#(86,386 likes)"", ""4884311209411877|#和平精英绿洲世界#(76,398 likes)""]",2022-08-14T08:30:52+00:00,2024-10-24T02:30:00+00:00
"马东, 迪丽热巴, 华晨宇",Artist,CN,1,6798,3639,271951,0,6798.0,3639.0,271951.0,282388.0,"[""4706303999475861|和平精英的微博视频(271,951 likes)""]",2021-11-22T04:02:54+00:00,2021-11-22T04:02:54+00:00
王楚然,Artist,CN,9,45721,42543,212030,0,5080.11,4727.0,23558.89,33366.0,"[""5143327931369124|#和平精英圣域龙灵##王楚然cos龙族女王#👸龙族女王@-王楚然- 冲破封印，浴火归来鎏金翅膀、黄金(41,154 likes)"", ""5143358129308470|#和平精英圣域龙灵##王楚然cos龙族女王#龙族女王@-王楚然- 片场花絮掉落鎏金妆？枷锁？骨节鞭？(38,269 likes)"", ""5143388338260473|和平精英的微博视频(36,919 likes)""]",2025-03-12T03:00:00+00:00,2025-03-15T09:00:01+00:00
"吴磊, 华晨宇",Artist,CN,1,11957,3496,188585,0,11957.0,3496.0,188585.0,204038.0,"[""5262900828308807|#和平精英全明星直播周#(188,585 likes)""]",2026-02-05T02:00:00+00:00,2026-02-05T02:00:00+00:00
未知艺人,Artist,CN,2,33585,12700,184459,0,16792.5,6350.0,92229.5,115372.0,"[""4793338581222187|#一起去追空投雨#(183,703 likes)"", ""4811478807611105|#和平精英#讨论中(756 likes)""]",2022-07-20T08:07:16+00:00,2022-09-08T09:30:03+00:00
"华晨宇, 宋茜, 希林娜依高, 康姆士",Artist,CN,2,60552,49757,170632,0,30276.0,24878.5,85316.0,140470.5,"[""4804872892056878|惊喜，从不辜负每一次追寻！8月21日16:00，锁定#2022PEL夏季赛总决赛# 暨空投节盛典「超(86,773 likes)"", ""4805361864019846|和平精英的微博视频(83,859 likes)""]",2022-08-21T04:00:30+00:00,2022-08-22T12:23:30+00:00
嘉人,Brand,CN,3,34470,5043,170586,0,11490.0,1681.0,56862.0,70033.0,"[""4803060839222205|#2022PEL夏季赛总决赛#(144,941 likes)"", ""5054550453257080|#和平精英电糖天使##和平精英RED组合# 和平精英× @嘉人 视觉大片闪耀上线！电糖天使降临，和平(16,040 likes)"", ""5054604666212588|嘉人的微博视频(9,605 likes)""]",2022-08-16T04:00:03+00:00,2024-07-10T07:05:25+00:00
王一博,Artist,CN,7,56753,16519,169386,0,8107.57,2359.86,24198.0,34665.43,"[""4663250597972803|无论沙漠雨林，海岛山谷，有信号发射，就有空投惊喜准备降落。🏍️ 一起来看《和平精英》品牌代言人@UN(48,537 likes)"", ""4664387128007237|🏍️ 为梦一搏，燃爆竞夏！ 由和平精英品牌代言人@UNIQ-王一博 为各位特种兵准备的电竞专属语音包(36,872 likes)"", ""4664991128749135|和平精英的微博视频(36,676 likes)""]",2020-12-11T13:30:45+00:00,2021-07-31T04:00:19+00:00
